CSDUID,CSDNAME,area_km2,assigned_ecozone,dominant_ecozone,coverage_pct
5907014,Oliver,6.017940227805539,Montane Cordillera,Yes,100.0
5907041,Penticton,47.40733714229865,Montane Cordillera,Yes,100.0
5909052,Abbotsford,385.2262595055366,Pacific Maritime,Yes,100.0
5915001,Langley,314.5850234151952,Pacific Maritime,Yes,100.0
5915002,Langley,10.214201274098741,Pacific Maritime,Yes,100.0
5915004,Surrey,323.81417268653786,Pacific Maritime,Yes,100.0
5915007,White Rock,5.122478697596236,Pacific Maritime,Yes,100.0
5915011,Delta,185.3373559256894,Pacific Maritime,Yes,100.0
5915015,Richmond,130.13907435174656,Pacific Maritime,Yes,100.0
5915022,Vancouver,115.26644781048857,Pacific Maritime,Yes,100.0
5915025,Burnaby,91.02853291961121,Pacific Maritime,Yes,100.0
5915029,New Westminster,17.524352010414116,Pacific Maritime,Yes,100.0
5915034,Coquitlam,129.39329451970377,Pacific Maritime,Yes,100.0
5915039,Port Coquitlam,33.656509527519965,Pacific Maritime,Yes,100.0
5915043,Port Moody,26.291161109922097,Pacific Maritime,Yes,100.0
5915046,North Vancouver,162.8954677717622,Pacific Maritime,Yes,100.0
5915051,North Vancouver,11.831956063714001,Pacific Maritime,Yes,100.0
5915055,West Vancouver,88.53158316920181,Pacific Maritime,Yes,100.0
5915065,Lions Bay,2.5239434590975756,Pacific Maritime,Yes,100.0
5917010,Sidney,5.119100242522801,Pacific Maritime,Yes,100.0
5917015,Central Saanich,41.576025778893545,Pacific Maritime,Yes,100.0
5917021,Saanich,107.40177333691035,Pacific Maritime,Yes,100.0
5917030,Oak Bay,10.58053604220229,Pacific Maritime,Yes,100.0
5917034,Victoria,19.564007657844087,Pacific Maritime,Yes,100.0
5917040,Esquimalt,7.115418666209158,Pacific Maritime,Yes,100.0
5917041,Colwood,17.78141452390084,Pacific Maritime,Yes,100.0
5917044,Langford,42.60772826565909,Pacific Maritime,Yes,100.0
5917047,View Royal,14.85926130319641,Pacific Maritime,Yes,100.0
5919012,Duncan,2.07442085956193,Pacific Maritime,Yes,100.0
5919016,Lake Cowichan,9.750262168111366,Pacific Maritime,Yes,100.0
5919021,Ladysmith,12.046943245035903,Pacific Maritime,Yes,100.0
5921007,Nanaimo,92.69533170896206,Pacific Maritime,Yes,100.0
5921018,Parksville,14.567689198852232,Pacific Maritime,Yes,100.0
5921023,Qualicum Beach,17.950599727558416,Pacific Maritime,Yes,100.0
5923008,Port Alberni,20.108477791942892,Pacific Maritime,Yes,100.0
5926005,Comox,16.785874710981727,Pacific Maritime,Yes,100.0
5926010,Courtenay,32.53202482033175,Pacific Maritime,Yes,100.0
5927008,Powell River,30.92212941285555,Pacific Maritime,Yes,100.0
5929005,Gibsons,4.299664201439036,Pacific Maritime,Yes,100.0
5933054,Chase,4.373826104927095,Montane Cordillera,Yes,100.0
5935010,Kelowna,259.6724120974077,Montane Cordillera,Yes,100.0
5937014,Vernon,115.9601896354203,Montane Cordillera,Yes,100.0
5937028,Armstrong,5.1642902547341425,Montane Cordillera,Yes,100.0
5937033,Enderby,4.213821515948111,Montane Cordillera,Yes,100.0
5955014,Dawson Creek,25.83250499905244,Boreal Plain,Yes,100.0
5955034,Fort St. John,31.63944339929468,Boreal Plain,Yes,100.0
