CSDUID,"Population, 2021","Population, 2016",Population Density (sq km),Land Area (sq km),"Population Change (%), 2016 to 2021",Number of Men,Men in Workforce,People in Workforce,"Number of Private Dwellings, 2021","Number of Private Dwellings, 2016","Number of Occupied Private Dwellings, 2021","Number of Occupied Private Dwellings, 2016",Average Household Size,"Total Private Dwellings Change (%), 2016 to 2021","Occupied Dwellings Change (%), 2016 to 2021",Indigenous identity: total count,Indigenous identity: Indigenous identity count,Visible minority: total counts,Visible minority: Total visible minority population,Indigenous identity: Indigenous identity count (%),Visible minority: Total visible minority population (%),Number of Men (%),Men in Workforce (%)
2432040,6414.0,6551.0,1304.2,4.92,-2.1,3185.0,,,3456.0,3203.0,3158.0,3059.0,2.0,7.9,3.2,,,6260.0,285.0,,4.55,49.66,
2421045,8231.0,7587.0,404.3,20.36,8.5,4065.0,,,3128.0,2868.0,3050.0,2814.0,2.6,9.1,8.4,,,8055.0,225.0,,2.79,49.39,
2447017,69025.0,66222.0,452.1,152.69,4.2,33615.0,,,32766.0,30880.0,31850.0,29948.0,2.1,6.1,6.4,,,66590.0,3635.0,,5.46,48.7,
2447025,4920.0,4410.0,402.2,12.23,11.6,2405.0,,,2404.0,2124.0,2242.0,1973.0,2.1,13.2,13.6,,,,,,,48.88,
2409065,1729.0,1759.0,688.8,2.51,-1.7,865.0,,,794.0,788.0,760.0,774.0,2.2,0.8,-1.8,,,,,,,50.03,
2475017,80213.0,74346.0,889.5,90.18,7.9,38830.0,,,38776.0,35316.0,37371.0,33642.0,2.1,9.8,11.1,,,77880.0,4960.0,,6.37,48.41,
2489804,1285.0,1380.0,409.2,3.14,-6.9,635.0,,,343.0,322.0,342.0,312.0,3.7,6.5,9.6,,,,,,,49.42,
2483065,3757.0,3843.0,662.8,5.67,-2.2,1775.0,,,2110.0,2057.0,1881.0,1912.0,1.9,2.6,-1.6,,,,,,,47.25,
2457040,24104.0,22458.0,988.8,24.38,7.3,11675.0,,,10338.0,9273.0,10140.0,9098.0,2.3,11.5,11.5,,,23745.0,1070.0,,4.51,48.44,
2457005,31444.0,29120.0,1253.7,25.08,8.0,15360.0,,,12609.0,11546.0,12405.0,11246.0,2.5,9.2,10.3,,,30895.0,3040.0,,9.84,48.85,
2457025,5936.0,5698.0,1904.0,3.12,4.2,2890.0,,,2459.0,2332.0,2408.0,2285.0,2.3,5.4,5.4,,,5585.0,120.0,,2.15,48.69,
2457035,18859.0,18585.0,427.8,44.08,1.5,9030.0,,,7917.0,7702.0,7766.0,7499.0,2.4,2.8,3.6,,,18310.0,695.0,,3.8,47.88,
2457030,8479.0,8421.0,1578.2,5.37,0.7,4170.0,,,3381.0,3301.0,3335.0,3255.0,2.5,2.4,2.5,,,8480.0,285.0,,3.36,49.18,
2457020,17053.0,17059.0,475.8,35.84,0.0,8380.0,,,6635.0,6447.0,6561.0,6391.0,2.6,2.9,2.7,,,16900.0,970.0,,5.74,49.14,
2465005,438366.0,422993.0,1781.0,246.13,3.6,213670.0,,,176115.0,165686.0,169785.0,160328.0,2.5,6.3,5.9,,,429555.0,140270.0,,32.65,48.74,
2456083,97873.0,95114.0,431.3,226.93,2.9,48115.0,,,44255.0,42036.0,42913.0,40843.0,2.2,5.3,5.1,,,95695.0,3940.0,,4.12,49.16,
2441060,3840.0,3659.0,489.8,7.84,4.9,1925.0,,,1718.0,1644.0,1653.0,1599.0,2.2,4.5,3.4,,,,,,,50.13,
2469055,2556.0,2444.0,924.2,2.77,4.6,1190.0,,,1273.0,1159.0,1202.0,1091.0,2.0,9.8,10.2,,,,,,,46.56,
2442098,3259.0,3232.0,466.8,6.98,0.8,1630.0,,,1720.0,1679.0,1609.0,1572.0,2.0,2.4,2.4,,,,,,,50.02,
2411040,3115.0,3246.0,408.1,7.63,-4.0,1475.0,,,1727.0,1770.0,1562.0,1562.0,1.9,-2.4,0.0,,,,,,,47.35,
2468030,4020.0,3899.0,893.3,4.5,3.1,2025.0,,,1740.0,1628.0,1638.0,1607.0,2.4,6.9,1.9,,,,,,,50.37,
2454025,2268.0,2233.0,422.9,5.36,1.6,1175.0,,,983.0,973.0,957.0,926.0,2.4,1.0,3.3,,,,,,,51.81,
2464015,51183.0,46692.0,478.8,106.89,9.6,25075.0,,,20290.0,18322.0,19981.0,17900.0,2.5,10.7,11.6,,,50085.0,4870.0,,9.72,48.99,
2464008,119944.0,111575.0,780.1,153.76,7.5,59250.0,,,46056.0,42622.0,45247.0,41801.0,2.6,8.1,8.2,,,118045.0,20675.0,,17.51,49.4,
2458033,41743.0,41671.0,587.8,71.02,0.2,20090.0,,,17733.0,17134.0,17291.0,16888.0,2.4,3.5,2.4,,,40880.0,3545.0,,8.67,48.13,
2458007,91525.0,85721.0,2025.3,45.19,6.8,44385.0,,,37275.0,34249.0,35885.0,33257.0,2.5,8.8,7.9,,,89145.0,44830.0,,50.29,48.49,
