CSDNAME,CSDUID,Aggregate after-tax income of households
"Division No.  1, Subd. Y",1001293,39600000
"Division No.  1, Unorganized",4601094,51000000
"Division No.  2, Subd. C",1002031,14000000
"Division No.  2, Subd. K",1002048,15800000
"Division No.  3, Subd. H",1003031,18400000
"Division No.  4, Subd. A",1004001,45200000
"Division No.  4, Subd. B",1004006,30000000
"Division No.  4, Subd. C",1004011,15000000
"Division No.  4, Subd. D",1004016,33200000
"Division No.  4, Subd. E",1004022,32800000
"Division No.  5, Subd. A",1005001,8800000
"Division No.  5, Subd. F",1005010,30000000
"Division No.  5, Subd. G",1005003,12000000
"Division No.  6, Subd. C",1006014,10400000
"Division No.  6, Subd. D",1006001,19200000
"Division No.  7, Subd. E",1007031,71200000
"Division No.  7, Subd. F",1007028,22600000
"Division No.  7, Subd. G",1007024,8000000
"Division No.  7, Subd. J",1007014,15400000
"Division No.  7, Subd. K",1007009,31000000
"Division No.  7, Subd. L",1007006,32400000
"Division No.  7, Subd. M",1007001,52400000
"Division No.  8, Subd. A",1008074,8800000
"Division No.  8, Subd. C",1008058,15000000
"Division No.  8, Subd. E",1008046,9000000
"Division No.  8, Subd. F",1008042,21400000
"Division No.  8, Subd. G",1008036,10000000
"Division No.  8, Subd. H",1008031,44600000
"Division No.  8, Subd. L",1008008,66000000
"Division No.  8, Subd. P",1008065,8000000
"Division No.  9, Subd. C",1009021,65600000
"Division No.  9, Subd. D",1009031,15200000
"Division No. 10, Subd. D",1010029,40000000
"Division No. 18, Unorganized",4718090,55200000
"Division No. 19, Unorganized",4619045,72800000
"Division No. 21, Unorganized",4621078,68800000
"Division No. 22, Unorganized",4622046,64400000
Dixville,2444023,18800000
Doaktown,1309022,24000000
Dog Creek 46,4618055,14600000
Dolbeau-Mistassini,2492022,407000000
Dollard-Des Ormeaux,2466142,1672000000
Dolphin Island 1,5947807,5400000
Donnacona,2434025,226000000
Donnelly,4819044,15600000
Dorchester,1307011,13400000
Dorchester,1307012,14000000
Dorion,3558034,15000000
Dorval,2466087,758000000
Dosquet,2433040,26200000
Douglas,1310028,201200000
Douglas No. 436,4716023,8000000
Douro-Dummer,3515023,292500000
Dover,1007057,14600000
Drayton Valley,4811031,248400000
Drift Pile River 150,4817828,16400000
Drumheller,4805026,247200000
Drummond,1312021,66800000
Drummond,1312023,21800000
Drummond/North Elmsley,3509010,311500000
Drummondville,2449058,2404000000
Dryden,3560027,274000000
Dubreuilville,3557079,20400000
Duchess,4802036,34400000
Duck Lake,4715062,12200000
Duck Lake 7,5935801,58800000
Duck Lake No. 463,4715061,36000000
Dudswell,2441117,54400000
Dufferin,1302031,19200000
Dufferin,4603072,66400000
Dufferin No. 190,4706059,17200000
Duhamel,2480135,20400000
Duhamel-Ouest,2485030,30600000
Dumbarton,1302044,9600000
Dumfries,1310014,16800000
Duncan,5919012,143200000
Dundas,1308001,144800000
Dundee,2469075,10800000
Dundurn,4711063,21600000
Dundurn No. 314,4711061,79500000
Dunham,2446050,124200000
Dunnottar,4613049,32400000
Duparquet,2487005,24600000
Dupuy,2487085,31000000
Durham,1314001,23200000
Durham-Sud,2449015,28000000
Dutton/Dunwich,3534030,142400000
Dysart et al,3546024,281500000
Eagle Creek No. 376,4712064,14000000
Eagle Lake 27,3560024,5800000
Ear Falls,3560032,41200000
East Angus,2441060,104200000
East Broughton,2431122,65200000
East Farnham,2446085,20000000
East Ferris,3548034,187200000
East Garafraxa,3522001,117200000
East Gwillimbury,3519054,1300000000
East Hants,1208008,740000000
East Hawkesbury,3502001,114800000
East Hereford,2444010,7800000
East Kootenay A,5901017,89200000
East Kootenay B,5901019,69200000
East Kootenay C,5901035,265000000
East Kootenay E,5901037,63400000
East Kootenay F,5901046,137600000
East Kootenay G,5901048,59600000
East Moberly Lake 169,5955801,9200000
"East River, Part 1",1102064,71200000
"East River, Part 2",1101052,17200000
East Saanich 2,5917803,58400000
East St. Paul,4613032,530000000
East Zorra-Tavistock,3532038,278500000
Eastend,4704026,17200000
Eastern Kings,1101040,19600000
Eastmain,2499810,30000000
Eastman,2445093,87200000
Eastport,1007042,14000000
Eatonia,4708068,16000000
Ebb and Flow 52,4617029,27600000
Eckville,4808024,30200000
Edam,4717011,16400000
Edenwold No. 158,4706029,209200000
Edgerton,4807052,11400000
Edmonton,4811061,36800000000
Edmundston,1313027,490000000
Edson,4814024,314000000
Edwardsburgh/Cardinal,3507004,260000000
Eel Ground 2,1309035,14600000
Eel River 3,1314010,10000000
Eel River Crossing,1314011,56600000
Eeyou Istchee Baie-James,2499060,84400000
