CSDNAME,CSDUID,"Population, 2021","Population percentage change, 2016 to 2021 (%)",Total private dwellings,Private dwellings occupied by usual residents,Land Area (sq km),Population Density (sq km)
Canwood,4716052,314,-5.4,168,154,2.42,129.8
Canwood No. 494,4716051,1351,-2.2,808,576,1919.39,0.7
Shellbrook,4716047,1510,4.6,710,674,3.93,384.2
Shellbrook No. 493,4716046,1581,-0.4,767,613,1213.96,1.3
Parkside,4716044,132,9.1,67,62,0.72,184.3
Pebble Baye,4716043,69,53.3,119,35,0.68,101.2
Leask,4716042,379,-5,197,170,0.73,516.6
Leask No. 464,4716041,857,25.8,764,333,1195.54,0.7
Meeting Lake No. 466,4716038,335,5,223,152,1043.34,0.3
Round Hill No. 467,4716033,394,9.1,188,167,809.51,0.5
North Battleford,4716029,13836,-3.3,6346,5696,33.55,412.4
North Battleford No. 437,4716028,687,-5.2,288,262,792.18,0.9
North Battleford,4716027,104,-32.5,0,0,1.27,82
Richard,4716026,25,25,10,10,0.72,34.9
Speers,4716024,72,20,37,30,0.68,106.3
Douglas No. 436,4716023,342,-2.3,173,130,814.37,0.4
Hafford,4716022,414,1.7,221,190,1.13,365.6
Krydor,4716019,15,0,25,15,0.94,15.9
Redberry No. 435,4716018,372,8.8,184,154,1003.09,0.4
Blaine Lake,4716016,509,2,296,250,1.86,272.9
Marcelin,4716014,142,-7.2,87,71,1.29,110.1
Blaine Lake No. 434,4716013,301,7.1,142,130,771.86,0.4
Borden,4716011,281,-2.1,131,120,0.73,384.7
Radisson,4716009,466,-9.3,256,231,2.07,225.6
Great Bend No. 405,4716008,381,-25.1,181,147,825.9,0.5
Mayfield No. 406,4716005,391,3.7,172,158,780.54,0.5
Maymont,4716004,163,18.1,78,73,0.54,300.7
Ruddell,4716003,20,0,11,9,0.47,42.4
Denholm,4716002,75,-14.8,35,31,0.35,215
One Arrow 95-1A,4715862,5,-50,3,3,1.15,4.3
One Arrow 95-1D,4715861,0,,0,0,1.83,0
Willow Cree,4715860,0,-100,3,1,2.24,0
Beardy's and Okemasis 96 and 97B,4715859,32,14.3,5,5,9.63,3.3
One Arrow 95-1C,4715857,0,-100,0,0,2.11,0
Montreal Lake 106B,4715853,423,-4.3,115,107,23.44,18
Little Red River 106C,4715851,367,3.7,99,89,125.77,2.9
Cumberland 100A,4715850,266,-16.1,80,80,83.53,3.2
James Smith 100,4715849,850,14.4,192,192,70.06,12.1
Wahpaton 94A,4715848,310,0.3,75,74,14.79,21
Muskoday First Nation,4715847,700,8.2,233,227,96.28,7.3
Beardy's 97 and Okemasis 96,4715845,1249,-5.6,315,304,108.88,11.5
One Arrow 95,4715844,671,-1.3,164,156,54.09,12.4
Kiskaciwan No. 208,4715820,89,161.8,20,16,1.48,60
Paddockwood No. 520,4715099,1071,19,623,455,2450.94,0.4
Paddockwood,4715098,118,-23.4,68,51,0.65,180.4
Buckland No. 491,4715094,3277,-2.9,1317,1237,787.35,4.2
Meath Park,4715092,169,-3.4,86,75,0.53,318.1
Weirdale,4715091,55,10,33,28,1.2,45.7
Albertville,4715085,121,-14.8,57,53,1.13,107.5
Garden River No. 490,4715079,647,-3.6,295,259,656.6,1
Christopher Lake,4715076,302,4.5,147,117,4.59,65.8
Lakeland No. 521,4715075,1300,42.1,1859,604,488.65,2.7
Kinistino,4715074,671,2.6,305,265,1.58,426
Weldon,4715072,160,-18.8,77,68,1,160
Kinistino No. 459,4715071,604,9,255,220,921.69,0.7
Candle Lake,4715070,1160,38.1,1698,589,62.93,18.4
Birch Hills,4715068,1066,3.2,475,450,2.39,446.6
Birch Hills No. 460,4715067,658,0.3,272,247,547.08,1.2
Prince Albert,4715066,37756,5.1,15490,14308,67.17,562.1
Prince Albert No. 461,4715064,3438,-3.5,1111,1055,1010.1,3.4
Duck Lake,4715062,579,1.8,232,202,2.38,243.3
Duck Lake No. 463,4715061,1010,5.8,450,384,1034.52,1
St. Louis,4715059,432,4.1,154,152,0.97,445.3
St. Louis No. 431,4715057,1029,-5.2,472,402,777.51,1.3
Invergordon No. 430,4715054,563,-0.4,385,266,844.71,0.7
Beatty,4715052,65,8.3,30,29,0.82,79
Flett's Springs No. 429,4715051,656,-10.4,256,240,838.98,0.8
St. Brieux,4715049,638,-4.3,268,250,2.56,249.7
Lake Lenore No. 399,4715048,506,-13.8,279,179,714.17,0.7
Middle Lake,4715047,188,-22,115,100,1.02,183.5
St. Benedict,4715046,80,-4.8,45,41,0.55,145.2
Pilger,4715045,65,0,42,36,0.49,133.6
Three Lakes No. 400,4715044,725,21.2,376,228,770.76,0.9
Wakaw Lake,4715043,66,-8.3,140,39,0.61,109
Wakaw,4715042,978,6.1,496,421,3.09,316.6
Cudworth,4715041,772,-5.2,364,331,2.12,364.8
Hoodoo No. 401,4715039,802,18.8,824,367,786.69,1
Alvena,4715038,75,25,52,34,0.43,173.2
Fish Creek No. 402,4715036,364,5.5,176,137,583.95,0.6
Hague,4715034,889,1.7,355,339,1.27,702.3
Rosthern,4715032,1602,-5.1,694,642,4.14,386.9
Rosthern No. 403,4715031,2473,7.5,797,744,944.28,2.6
Laird,4715029,265,-0.7,121,115,1.23,215.6
Waldheim,4715028,1237,2,451,430,1.97,628.1
Hepburn,4715027,784,14,276,268,1.14,689.4
Laird No. 404,4715026,1304,-6,428,396,725.42,1.8
Aberdeen,4715019,716,8.2,264,255,1.96,364.6
Aberdeen No. 373,4715018,1461,5.9,528,487,671.82,2.2
Vonda,4715017,384,0,160,147,2.75,139.8
Prud'homme,4715016,177,6,87,75,0.79,223.1
Grant No. 372,4715014,525,12.7,215,190,659.69,0.8
Bruno,4715012,604,-1.1,299,274,0.94,643
Bayne No. 371,4715011,461,-1.3,202,180,788.95,0.6
Humboldt,4715008,6033,2.8,2707,2494,13.3,453.5
Humboldt No. 370,4715007,961,2.8,422,370,780.28,1.2
Lake Lenore,4715006,289,1.8,135,116,0.97,299.1
Annaheim,4715005,206,-1.9,95,88,0.7,292.5
Muenster,4715004,403,-6.3,186,173,1.36,295.5
St. Gregor,4715003,104,7.2,49,46,0.84,123.7
Englefeld,4715002,259,-9.1,114,105,0.66,394.5
St. Peter No. 369,4715001,723,-6.5,299,278,827.39,0.9
Opaskwayak Cree Nation 27A,4714846,0,,0,0,13.29,0
Carrot River 29A,4714845,756,-8.8,120,116,7.51,100.6
Yellow Quill 90-9,4714843,66,32,14,13,64.81,1
Kinistin 91,4714842,304,-5.3,105,96,35.38,8.6
Yellowquill 90,4714841,475,8.9,144,132,58.57,8.1
Red Earth 29,4714840,490,46.7,101,77,14.15,34.6
Shoal Lake 28A,4714839,613,44.6,123,111,14.13,43.4
Smeaton,4714093,163,-10.4,81,69,1.46,111.4
Choiceland,4714092,342,-4.7,204,174,1.06,323.9
Love,4714091,50,0,35,27,0.4,124.8
White Fox,4714079,343,-3.4,175,154,0.99,344.9
Torch River No. 488,4714077,1219,-17.1,663,543,5145.75,0.2
Nipawin,4714076,4570,3.8,2091,1921,8.93,512
Codette,4714074,180,-9.1,105,95,0.41,443.7
Aylsham,4714073,82,26.2,44,38,0.53,153.5
Nipawin No. 487,4714072,958,-4.6,467,391,879.63,1.1
Carrot River,4714069,946,-2.8,463,426,1.75,541.4
Tobin Lake,4714068,139,56.2,186,72,2.29,60.8
Moose Range No. 486,4714067,942,-5.8,391,348,2423.98,0.4
Arborfield,4714062,285,-8.7,139,122,0.87,326.2
Zenon Park,4714061,176,-9.3,100,82,0.53,331.5
Arborfield No. 456,4714059,338,-1.5,163,143,1403.77,0.2
Ridgedale,4714058,65,18.2,40,27,0.65,99.6
Connaught No. 457,4714056,491,-16.2,221,196,848.82,0.6
Willow Creek No. 458,4714053,683,8.4,340,295,838.86,0.8
Melfort,4714051,5955,-0.6,2788,2575,14.73,404.2
Star City,4714049,374,-3.4,206,182,0.7,533.3
Valparaiso,4714048,25,66.7,11,11,0.74,33.7
Star City No. 428,4714047,811,-11.7,314,302,822.81,1
Tisdale,4714044,2962,-8.4,1613,1379,6.56,451.9
Tisdale No. 427,4714043,885,-2.9,374,352,843.02,1
Bjorkdale,4714041,147,-26.9,88,70,1.36,108.1
Mistatim,4714039,30,-70.3,20,16,0.51,58.5
Bjorkdale No. 426,4714038,906,6.5,1009,437,1438.66,0.6
Archerwill,4714036,153,-7.8,102,78,0.82,186.5
Pleasantdale No. 398,4714035,599,0.5,301,258,755.6,0.8
Barrier Valley No. 397,4714034,485,12.5,375,216,817.93,0.6
Naicam,4714032,651,-1.5,342,311,1.56,418.3
Pleasantdale,4714030,80,5.3,36,33,0.53,152.3
Spalding,4714028,213,-12.7,135,107,1.19,178.3
Spalding No. 368,4714026,420,-7.3,197,172,811.15,0.5
Fosston,4714025,40,-11.1,29,22,0.54,74.7
Rose Valley,4714024,256,-9.2,141,113,1.05,244.7
Ponass Lake No. 367,4714023,416,-1.4,227,192,795.56,0.5
Kelvington,4714022,827,-0.8,469,406,3.87,213.8
Kelvington No. 366,4714021,366,-8,220,168,853.13,0.4
Weekes,4714009,50,25,64,28,0.53,93.9
Porcupine Plain,4714007,817,-5.2,400,357,2.12,384.6
Porcupine No. 395,4714006,736,-8.3,463,328,2316.38,0.3
Hudson Bay,4714004,1403,-2.3,782,693,17.38,80.7
Hudson Bay No. 394,4714001,1145,4.9,849,494,12399.12,0.1
Little Pine 116,4713836,622,-11.1,220,199,65.81,9.5
Poundmaker 114,4713835,471,-13.9,218,186,81.14,5.8
Cut Knife,4713098,547,-4.5,259,222,1.88,290.6
Cut Knife No. 439,4713096,415,14,364,179,651.33,0.6
Neilburg,4713094,371,-2.1,192,160,1.24,299.2
Hillsdale No. 440,4713092,528,-4.5,181,158,1014.77,0.5
Marsden,4713091,281,-5.4,121,111,0.79,354.2
Manitou Lake No. 442,4713079,505,-11.9,250,199,839.29,0.6
Senlac,4713078,36,-12.2,26,18,0.66,54.6
Senlac No. 411,4713076,198,-8.3,143,83,1007.3,0.2
Unity,4713074,2496,-3,1148,1042,9.7,257.3
Round Valley No. 410,4713072,384,-9.2,159,144,795.72,0.5
Wilkie,4713069,1195,-2,569,509,9.22,129.5
Buffalo No. 409,4713068,420,-17,188,173,1204.97,0.3
Landis,4713067,133,-12.5,78,68,0.84,158
Reford No. 379,4713064,222,-13.6,110,90,695.85,0.3
Scott,4713062,74,1.4,44,39,4.17,17.7
Tramping Lake No. 380,4713059,402,7.2,83,74,605.12,0.7
Grass Lake No. 381,4713056,389,-2.5,183,160,772.9,0.5
Denzil,4713054,140,-2.1,71,64,0.61,229.6
Primate,4713053,35,-32.7,19,17,0.86,40.8
Macklin,4713051,1247,-9.2,551,498,3.05,409.2
Eye Hill No. 382,4713049,552,-6.4,261,211,775.85,0.7
Heart's Hill No. 352,4713046,234,-4.1,116,92,826.01,0.3
Luseland,4713044,559,-10.3,311,274,1.59,351.3
Kerrobert,4713042,970,-5.5,494,410,8.47,114.5
Progress No. 351,4713041,265,-1.1,119,102,788.45,0.3
Tramping Lake,4713039,35,-41.7,26,17,1.27,27.7
Mariposa No. 350,4713038,291,42,86,70,635.16,0.5
Grandview No. 349,4713032,230,-33.9,120,98,709.49,0.3
Plenty,4713031,128,-22,75,59,0.61,209.4
Dodsland,4713029,215,0,114,92,2.86,75.3
Winslow No. 319,4713028,344,0,140,118,814.35,0.4
Coleville,4713026,280,-8.2,155,129,1.66,168.8
Oakdale No. 320,4713024,216,-14.6,118,95,826.79,0.3
Smiley,4713022,25,-58.3,17,13,0.62,40.1
Major,4713021,35,0,24,21,2.6,13.5
Prairiedale No. 321,4713019,246,-0.4,61,48,556.2,0.4
Antelope Park No. 322,4713016,124,-4.6,67,53,609.52,0.2
Marengo,4713014,75,11.9,39,30,0.89,84.3
Milton No. 292,4713011,249,-6.4,135,103,672.17,0.4
Flaxcombe,4713009,134,8.1,59,55,1.45,92.4
Kindersley,4713008,4567,-0.7,2081,1832,12.91,353.7
Kindersley No. 290,4713006,1003,-4.4,412,348,2164.53,0.5
Netherhill,4713004,25,0,17,15,0.77,32.6
Brock,4713002,134,-5.6,71,62,0.7,191.6
Poundmaker 114-18B,4712870,0,-100,0,0,0.85,0
Sweet Grass 113-M16,4712837,5,,2,2,2.85,1.8
Sweet Grass 113,4712833,623,-3.1,200,185,158.64,3.9
Grizzly Bear's Head 110 and Lean Man 111,4712832,134,100,66,63,33.91,4
Mosquito 109,4712830,127,-73.4,56,54,90.81,1.4
Red Pheasant 108,4712829,442,-14.8,181,166,94.59,4.7
Battleford,4712079,4400,-0.7,1877,1758,23.26,189.2
Battle River No. 438,4712078,1029,-4.2,449,409,1056.77,1
Rosemount No. 378,4712072,175,-12.9,98,78,561.28,0.3
Glenside No. 377,4712069,206,-16.9,102,89,883.96,0.2
Eagle Creek No. 376,4712064,643,8.1,216,161,822.29,0.8
Asquith,4712059,624,-2.3,277,254,1.37,456
Vanscoy,4712058,477,3.2,206,193,2.47,193.3
Delisle,4712056,1024,-1.3,462,427,3.33,307.5
Vanscoy No. 345,4712054,2799,-1.4,1259,1120,861.1,3.3
Kinley,4712052,60,0,34,29,1.18,51
Perdue,4712051,313,-6.3,177,155,1.03,303.9
Perdue No. 346,4712050,471,5.8,153,126,818.49,0.6
Biggar,4712046,2133,-4.2,1027,941,15.37,138.8
Biggar No. 347,4712042,805,0.9,307,264,1576.09,0.5
Mountain View No. 318,4712038,358,6.2,128,109,847.02,0.4
Marriott No. 317,4712034,349,-4.6,135,114,832.54,0.4
Harris,4712032,190,-1.6,117,95,0.89,212.8
Tessier,4712031,25,0,15,12,1,24.9
Harris No. 316,4712029,205,6.2,96,85,807.34,0.3
Montrose No. 315,4712026,647,-9.1,283,249,897.57,0.7
Conquest,4712022,167,4.4,76,75,1,166.7
Fertile Valley No. 285,4712020,604,12.1,181,169,1010.19,0.6
Macrorie,4712019,65,-4.4,44,35,0.72,90.8
Dinsmore,4712016,267,-7.6,166,125,2.55,104.6
Wiseton,4712014,64,-19,48,29,0.71,89.9
Milden,4712012,153,-8.4,111,80,0.96,158.9
Milden No. 286,4712011,280,-14.4,97,75,732.95,0.4
Zealandia,4712008,75,-6.3,49,38,1.29,58.1
Rosetown,4712006,2507,2.3,1224,1112,11.59,216.3
St. Andrews No. 287,4712004,461,-11.7,181,148,807.82,0.6
Pleasant Valley No. 288,4712001,301,-0.3,116,95,822.47,0.4
Whitecap,4711828,511,13.3,167,158,19.29,26.5
Wolverine No. 340,4711096,511,6.5,222,195,828.06,0.6
Plunkett,4711094,60,0,36,28,0.67,88.9
Viscount,4711092,282,21.6,149,128,1.49,189.8
Viscount No. 341,4711091,320,-5.3,145,135,828.55,0.4
Colonsay,4711079,446,-1.1,199,181,2.4,185.9
Meacham,4711078,96,-3,51,46,1.26,76
Clavet,4711077,450,9.8,150,147,0.86,523.4
Colonsay No. 342,4711076,260,-3.3,112,101,548.46,0.5
Osler,4711075,1251,1.1,429,420,1.62,771.7
Dalmeny,4711073,1766,-3.3,627,615,3.28,537.8
Allan,4711072,625,-3,279,266,1.8,347.8
Bradwell,4711071,164,-1.2,78,70,0.42,394.2
Martensville,4711070,10549,9.3,3799,3639,13.56,777.9
Blucher No. 343,4711069,1984,-1.1,795,748,789.4,2.5
Warman,4711068,12419,12.7,4313,4162,13.1,948.3
Langham,4711067,1518,1.5,589,554,4.27,355.1
Saskatoon,4711066,266141,7.7,115619,107052,226.56,1174.7
Corman Park No. 344,4711065,8909,4.1,3280,3096,1893.24,4.7
Shields,4711064,351,21.9,204,150,0.75,470.3
Dundurn,4711063,675,10.5,269,257,1.48,456.7
Dundurn No. 314,4711061,2101,-12.6,657,626,799.97,2.6
Thode,4711060,163,3.8,107,76,0.72,226
Lost River No. 313,4711059,252,4.1,80,71,549.96,0.5
Zelma,4711058,28,-20,12,10,0.71,39.3
Young,4711056,253,3.7,142,126,2.54,99.7
Manitou Beach,4711054,364,15.9,388,200,2.28,159.9
Watrous,4711053,1842,-3.1,908,851,11.29,163.1
Morris No. 312,4711052,263,-9.3,131,109,842.62,0.3
Lanigan,4711049,1433,4.1,651,578,8.14,176.1
Drake,4711048,197,0,103,91,0.64,307.3
Usborne No. 310,4711046,511,-3.4,236,205,806.11,0.6
Nokomis,4711044,414,2.5,217,179,2.55,162.6
Wreford No. 280,4711042,140,3.7,76,54,793.3,0.2
Simpson,4711041,131,3.1,83,64,1.57,83.2
Wood Creek No. 281,4711039,205,-8.5,110,91,829.78,0.2
Bladworth,4711038,71,9.2,36,28,0.87,81.2
Kenaston,4711036,292,3.5,153,130,1.14,257
McCraney No. 282,4711034,280,-9.7,136,114,944.47,0.3
Hanley,4711032,540,5.7,248,228,2.66,202.8
Rosedale No. 283,4711031,542,3,158,146,923.87,0.6
Glenside,4711029,73,-3.9,28,25,0.78,94.1
Broderick,4711028,96,12.9,44,37,0.77,125.4
Outlook,4711027,2336,2.5,1055,1001,8.34,280
Rudy No. 284,4711026,475,1.9,178,159,807.31,0.6
Hawarden,4711024,50,-3.8,33,30,1.12,44.6
Strongfield,4711022,55,37.5,29,28,0.65,85.2
Loreburn,4711021,100,-6.5,65,52,0.56,178.2
Elbow,4711019,341,1.2,246,165,3.96,86.1
Loreburn No. 254,4711018,380,16.2,151,140,958.42,0.4
Willner No. 253,4711016,293,14.9,108,93,836.21,0.4
Davidson,4711014,1044,-0.4,524,466,4.05,257.7
Arm River No. 252,4711011,258,3.2,117,100,721.58,0.4
Liberty,4711009,68,-12.8,42,36,1.42,47.7
Imperial,4711008,372,3.3,183,166,1.2,308.7
Etters Beach,4711007,40,33.3,119,24,0.26,153.7
Big Arm No. 251,4711006,184,-3.7,118,80,689.35,0.3
Govan,4711004,200,3.1,122,102,1.27,157.1
Last Mountain Valley No. 250,4711003,339,23.3,306,154,858.96,0.4
Duval,4711002,95,14.5,55,49,0.67,141.9
Muskowekwan 85-31,4710852,0,,0,0,3.07,0
Muskowekwan 85-2A,4710851,0,,0,0,0.55,0
Muskowekwan 85-15,4710850,0,-100,1,1,3.79,0
Muskowekwan 85-8,4710849,0,-100,0,0,0.52,0
Muskowekwan 85-1,4710848,0,,0,0,1.4,0
Muskowekwan 85-10,4710847,0,-100,0,0,5.26,0
Muskowekwan 85-27,4710846,0,,0,0,1.84,0
Muskowekwan 85-22,4710845,0,,0,0,0.74,0
Muskowekwan 85-12,4710843,5,,1,1,2.68,1.9
Muskowekwan 85-23,4710842,0,,0,0,0.7,0
Muskowekwan 85-29,4710840,5,0,3,3,2.03,2.5
Muskowekwan 85-28,4710838,0,,1,1,3.63,0
Muskowekwan 85-33,4710836,0,,0,0,0.65,0
Muskowekwan 85-26,4710834,0,,0,0,1.25,0
Muskowekwan 85-17,4710832,0,,0,0,2.39,0
Beardy's and Okemasis 96 and 97A,4710828,0,-100,1,1,44.86,0
Fishing Lake 89,4710826,506,24.6,158,154,33.17,15.3
Poorman 88,4710825,676,-7.3,190,171,96.51,7
Day Star 87,4710824,145,-2,58,58,56.08,2.6
Gordon 86,4710823,763,-8.8,244,236,125.01,6.1
Muskowekwan 85,4710822,494,13.3,172,160,63.8,7.7
Muskowekwan 85-4,4710801,0,-100,0,0,1.84,0
Margo,4710072,65,-21.7,58,36,0.71,91.2
Sasman No. 336,4710071,813,6.3,607,362,984.26,0.8
Wadena,4710068,1269,-1.5,677,606,2.99,423.8
Lakeview No. 337,4710066,366,-0.5,167,148,709.1,0.5
Quill Lake,4710064,377,-2.6,213,188,1.32,285.7
Watson,4710062,707,1.4,356,319,2.96,239.1
Lakeside No. 338,4710061,396,-4.6,129,120,653.88,0.6
Leroy,4710058,510,13.3,238,196,2.11,241.4
Leroy No. 339,4710056,457,-9,202,183,831.54,0.5
Jansen,4710054,111,15.6,71,57,0.87,127.5
Prairie Rose No. 309,4710052,195,-11.4,96,84,837.66,0.2
Wynyard,4710047,1724,-4.1,911,808,5.32,323.9
Big Quill No. 308,4710046,520,-2.6,246,218,730.34,0.7
Elfros,4710043,90,0,56,48,2.48,36.2
Elfros No. 307,4710041,373,-4.6,197,163,687.56,0.5
Foam Lake,4710038,1183,3.7,584,543,6.04,196
Foam Lake No. 276,4710036,532,0.6,308,229,1284.41,0.4
Leslie Beach,4710035,110,168.3,148,38,0.66,165.6
Chorney Beach,4710034,51,21.4,62,25,0.23,224.1
Emerald No. 277,4710031,370,-8.6,210,178,807.18,0.5
Punnichy,4710029,212,-0.5,87,79,0.68,310.2
Quinton,4710028,89,-11.9,46,40,0.97,91.6
Raymore,4710027,507,-11.8,248,233,2.74,185.2
Mount Hope No. 279,4710024,531,0,242,209,1624.57,0.3
Semans,4710022,180,-8.2,113,93,1.08,166.9
Touchwood No. 248,4710014,373,8.7,158,135,684.57,0.5
Leross,4710011,40,-13,16,14,1.28,31.2
Kelliher,4710009,244,12.4,162,129,2.57,94.9
Kellross No. 247,4710008,396,0.3,217,181,809.22,0.5
Ituna,4710004,726,3.6,401,350,1.47,495.5
Ituna Bon Accord No. 246,4710003,327,-12.6,148,138,788.73,0.4
Hubbard,4710002,45,28.6,23,20,1.07,42.2
Keeseekoose 66-KE-05,4709832,20,300,6,5,2.44,8.2
Keeseekoose 66-KE-04,4709830,0,,1,1,1.44,0
Keeseekoose 66-CA-06,4709828,0,,0,0,3.37,0
Keeseekoose 66-CA-05,4709826,5,,1,1,3.94,1.3
Keeseekoose 66-CA-04,4709824,0,,0,0,2.87,0
Keeseekoose 66A,4709822,25,400,7,6,0.04,639.4
The Key 65,4709821,144,-2.7,56,49,58.59,2.5
Keeseekoose 66,4709820,599,22,163,157,41.13,14.6
Cote 64,4709819,799,6.8,288,253,83.92,9.5
Arran,4709076,20,-20,15,8,0.72,27.9
Livingston No. 331,4709075,281,0,158,131,1326.24,0.2
Norquay,4709072,420,-3.2,227,187,1.62,258.6
Hyas,4709071,89,36.9,65,53,0.41,215.5
Stenen,4709069,89,-1.1,51,44,0.71,126
Clayton No. 333,4709067,631,5.7,307,253,1380.68,0.5
Sturgis,4709066,646,0.3,333,300,3.15,205.1
Endeavour,4709065,75,15.4,60,42,1,74.7
Preeceville,4709064,1062,-5.6,570,492,2.86,371.8
Preeceville No. 334,4709062,966,5.1,489,379,1368.92,0.7
Lintlaw,4709061,150,-12.8,94,64,1.24,120.9
Hazel Dell No. 335,4709060,511,-0.8,275,229,1358.45,0.4
Invermay,4709058,272,-0.4,112,102,1.2,225.8
Rama,4709056,70,-12.5,37,31,0.67,105.1
Invermay No. 305,4709054,269,-17.2,133,110,694.14,0.4
Buchanan,4709053,237,8.7,141,121,1.13,209.4
Buchanan No. 304,4709049,330,22.2,192,150,708.27,0.5
Keys No. 303,4709046,548,31.7,379,199,656.49,0.8
Pelly,4709044,255,-10.5,166,131,0.96,266.2
St. Philips No. 301,4709042,200,-9.1,151,94,647.8,0.3
Kamsack,4709039,1779,-6.3,903,792,5.67,313.5
Togo,4709038,83,-3.5,62,46,1.44,57.7
Cote No. 271,4709037,616,12.4,493,288,871.02,0.7
Sliding Hills No. 273,4709033,438,4,264,194,820.7,0.5
Canora,4709032,2092,3.4,1123,981,7.35,284.7
Good Lake No. 274,4709029,930,24.5,924,423,773.54,1.2
Theodore,4709028,315,-2.5,173,151,1.51,208.4
Sheho,4709024,122,16.2,79,70,1.88,65
Insinger No. 275,4709023,305,-3.2,158,133,808.55,0.4
Garry No. 245,4709019,370,1.6,175,152,790.2,0.5
Springside,4709016,478,-4.8,227,202,0.7,679.3
Ebenezer,4709014,188,1.6,80,77,0.6,312.6
Yorkton,4709012,16280,-0.4,7529,6974,36.19,449.8
Orkney No. 244,4709011,1883,0.4,810,756,770.05,2.4
Rhein,4709009,149,-12.4,81,65,1.08,138
Wallace No. 243,4709006,881,3.4,387,350,814.69,1.1
Calder,4709002,81,-10,62,44,0.75,108
Calder No. 241,4709001,344,-7,209,164,790.93,0.4
Elrose,4708094,470,-5.2,248,207,2.89,162.8
Monet No. 257,4708092,432,-2.9,162,139,1587.99,0.3
Eston,4708076,972,-8.4,492,426,2.65,366.2
Snipe Lake No. 259,4708074,410,3.5,290,177,1615.91,0.3
Newcombe No. 260,4708071,356,4.1,133,110,1094.64,0.3
Eatonia,4708068,498,-5,253,205,1.6,311.6
Chesterfield No. 261,4708065,419,-12.9,171,142,1962.21,0.2
Burstall,4708062,302,8.6,173,140,1.09,277.1
Deer Forks No. 232,4708061,208,-0.5,57,46,736.87,0.3
Mendham,4708059,25,-16.7,17,12,0.59,42.3
Leader,4708058,881,2.1,426,372,1.68,525.1
Prelate,4708057,116,-24.7,60,52,0.82,141.8
Happyland No. 231,4708056,285,14.5,140,110,1269.18,0.2
Sceptre,4708054,78,-17,46,40,1.33,58.5
Clinworth No. 230,4708053,168,9.1,85,76,1436.33,0.1
Lancer,4708049,58,-15.9,33,28,1.32,43.9
Abbey,4708048,100,-22.5,85,59,0.73,137.6
Miry Creek No. 229,4708046,378,2.2,115,95,1227.72,0.3
Kyle,4708044,413,-8,241,216,1.16,356.2
Lacadena No. 228,4708042,787,47.1,613,290,1896.92,0.4
Stewart Valley,4708039,107,17.6,53,46,0.86,125
Saskatchewan Landing No. 167,4708038,434,4.6,163,142,792.73,0.5
Success,4708036,45,0,25,18,1.36,33
Pennant,4708034,120,-7.7,65,55,0.65,183.9
Cabri,4708032,413,5.9,246,203,1.36,303.7
Riverside No. 168,4708031,436,-8.6,192,161,1307.46,0.3
Hazlet,4708029,90,-15.1,61,43,0.55,163.7
Pittville No. 169,4708028,201,-3.4,93,81,1256.42,0.2
Fox Valley,4708026,259,4,134,114,0.7,369.7
Fox Valley No. 171,4708024,344,4.2,91,76,1253.4,0.3
Richmound,4708022,118,-19.7,61,55,0.48,247.8
Enterprise No. 142,4708021,110,0,72,49,998.47,0.1
Golden Prairie,4708018,30,0,21,17,0.48,62.1
Big Stick No. 141,4708016,148,8.8,68,60,831.87,0.2
Tompkins,4708012,153,0.7,99,84,2.68,57.1
Gull Lake,4708011,908,-13.2,494,407,2.4,378.5
Gull Lake No. 139,4708009,185,-8,89,73,828.48,0.2
Webb,4708008,71,42,43,33,1.23,57.7
Webb No. 138,4708006,567,4.8,254,131,1101.92,0.5
Swift Current,4708004,16750,0.9,7891,7214,29.3,571.6
Swift Current No. 137,4708001,1995,3.3,778,735,1100.47,1.8
Aylesbury,4707093,67,67.5,38,28,1.31,51.3
Craik,4707092,405,3.3,221,187,3.08,131.6
Craik No. 222,4707091,272,5,169,124,868.48,0.3
Tugaske,4707077,79,5.3,53,44,0.75,105.2
Huron No. 223,4707076,205,3.5,59,47,830.68,0.2
Mistusinne,4707074,118,53.2,244,56,1.92,61.6
Riverhurst,4707072,152,16.9,131,74,1.01,150.7
Maple Bush No. 224,4707071,213,10.9,188,105,818.05,0.3
Coteau Beach,4707068,170,254.2,127,59,0.7,243.9
Coteau No. 255,4707067,401,-15.6,381,183,895.72,0.4
King George No. 256,4707066,178,-21.2,94,79,820.32,0.2
Victory No. 226,4707063,434,14.2,233,143,1360.62,0.3
Beechy,4707062,209,-8.3,112,103,1.09,192.1
Lucky Lake,4707059,270,-6.6,145,127,0.82,330.6
Canaan No. 225,4707058,145,3.6,61,56,549.95,0.3
Central Butte,4707054,416,11.8,216,190,2.1,197.7
Enfield No. 194,4707053,268,18.6,116,106,1003.93,0.3
South Lake,4707051,226,33.7,313,117,4.95,45.7
Eyebrow,4707049,130,9.2,73,62,2.52,51.6
Brownlee,4707048,55,0,29,27,2.57,21.4
Eyebrow No. 193,4707047,220,12.8,102,86,830.73,0.3
Sun Valley,4707045,154,30.5,185,73,2.03,75.7
Marquis,4707044,90,-7.2,45,39,0.63,143
Tuxford,4707043,103,-8.8,42,40,0.68,152.3
Marquis No. 191,4707042,303,-2.9,204,132,781.48,0.4
Moose Jaw,4707039,33665,-0.7,16143,14719,65.81,511.5
Moose Jaw No. 161,4707038,1207,5.6,557,496,777.62,1.6
