REF_DATE,GEO,DGUID,CDUID,Display value,Statement of operations and balance sheet,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Voluntary transfers other than grants [144],Dollars,81,thousands,3,v1571493232,106.1.17,0,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Miscellaneous revenue [145, 16]",Dollars,81,thousands,3,v1571493233,106.1.18,232572,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Expense [2],Dollars,81,thousands,3,v1571493234,106.1.19,3011238,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Compensation of employees [21],Dollars,81,thousands,3,v1571493235,106.1.20,1577596,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Use of goods and services [22],Dollars,81,thousands,3,v1571493236,106.1.21,570923,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Consumption of fixed capital [23],Dollars,81,thousands,3,v1571493237,106.1.22,591167,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Interest expense [24],Dollars,81,thousands,3,v1571493238,106.1.23,143915,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Subsidies [25],Dollars,81,thousands,3,v1571493239,106.1.24,0,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Grants, expense [26]",Dollars,81,thousands,3,v1571493240,106.1.25,0,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Social benefits [27],Dollars,81,thousands,3,v1571493241,106.1.26,0,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Other expense [28, 29]",Dollars,81,thousands,3,v1571493242,106.1.27,127637,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Net worth [6],Dollars,81,thousands,3,v1571493243,106.1.28,15772923,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Nonfinancial assets [61],Dollars,81,thousands,3,v1571493244,106.1.29,13474109,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Net financial worth,Dollars,81,thousands,3,v1571493245,106.1.30,2298814,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Financial assets [62],Dollars,81,thousands,3,v1571493246,106.1.31,7326310,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Currency and deposits, assets [6212, 6222]",Dollars,81,thousands,3,v1571493247,106.1.32,39296,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Net acquisition of financial assets [6213,6223,6214,6224,6215,6225, 6217, 6227]",Dollars,81,thousands,3,v1571493248,106.1.33,6459483,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Insurance and pension, assets [6216, 6226]",Dollars,81,thousands,3,v1571493249,106.1.34,15898,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Other accounts receivable [6218, 6228]",Dollars,81,thousands,3,v1571493250,106.1.35,811633,,,,0
